Participant ID,Timing,B. Timing_5_TEXT
R_82PiWLNvqNB0Q5a,Other:,"Later, when the meeting is over, but not immediately after. I might have to write something down or finish another task - I would like to be able to first focus on the tasks at hand at work and then treat learning about the notifications like a little ""break""."
R_2qJWwhP8L0JTDwc,Other:,never
R_8TZerhduC2hcnKy,Other:,I dont want to be interrupted by this kind of message
R_8mXGSIvo1Rmwtal,Other:,"Never, as I do not see them as necessary"
