Participant ID,Timing,H. Timing_5_TEXT
R_82PiWLNvqNB0Q5a,Other:,"Either later, when I am completely done studying or maybe after I have taken a natural pause like coming back from the bathroom - either way, in this case I would like this to be an active choice of deciding when to be notified."
R_2jcHCEFJA7BR0hI,Other:,I can decide my own in every situation.
R_2qJWwhP8L0JTDwc,Other:,never
R_8TZerhduC2hcnKy,Other:,I dont want to be interrupted by this kind of message
