Participant ID,Timing,G. Timing_5_TEXT
R_82PiWLNvqNB0Q5a,Other:,Ideally when there is a commercial break in the podcast and then the podcast's volume could get turned down and the notification would be played.
R_2qJWwhP8L0JTDwc,Other:,i don't need an audio notification; i can just see the message whenever i choose to look at my phone again
R_8TZerhduC2hcnKy,Other:,I dont want to be interrupted by this kind of message
R_25HmpH2IIzw051s,Other:,I would want the podcast to be paused automatically and then for the notification to play
R_8JCx6iV1TX1qGQN,Other:,"In a short break both in podcast and (!) cooking, e.g. when the podcast is paused because of advertising and (!) I just finished a cooking step"
