Participant ID,Timing,D. Timing_5_TEXT
R_2jcHCEFJA7BR0hI,Other:,When someone stops this music.
R_2X0TJXeOLFuPfSN,Other:,"If it is important, I want to know what the matter is, instantly. "
R_8TZerhduC2hcnKy,Other:,I dont want to be interrupted by this kind of message
R_2j8rLZgGyZGgQoj,Other:,"I would want to be able to control, when I want to hear it, which message. Maybe by selecting notifications with buttons on the glasses or a smartwatch"
